Country,Region,value,variable,year
Sierra Leone,Sub-Saharan Africa,0.36485,Economy (GDP per Capita),2016
Iraq,Middle East and Northern Africa,1.07474,Economy (GDP per Capita),2016
Namibia,Sub-Saharan Africa,0.93287,Economy (GDP per Capita),2016
Cameroon,Sub-Saharan Africa,0.52497,Economy (GDP per Capita),2016
Ethiopia,Sub-Saharan Africa,0.29283,Economy (GDP per Capita),2016
South Africa,Sub-Saharan Africa,1.02416,Economy (GDP per Capita),2016
Sri Lanka,Southern Asia,0.97318,Economy (GDP per Capita),2016
India,Southern Asia,0.74036,Economy (GDP per Capita),2016
Myanmar,Southeastern Asia,0.34112,Economy (GDP per Capita),2016
Egypt,Middle East and Northern Africa,0.95395,Economy (GDP per Capita),2016
Armenia,Central and Eastern Europe,0.86086,Economy (GDP per Capita),2016
Kenya,Sub-Saharan Africa,0.52267,Economy (GDP per Capita),2016
Ukraine,Central and Eastern Europe,0.87287,Economy (GDP per Capita),2016
Ghana,Sub-Saharan Africa,0.63107,Economy (GDP per Capita),2016
Congo (Kinshasa),Sub-Saharan Africa,0.05661,Economy (GDP per Capita),2016
Georgia,Central and Eastern Europe,0.83792,Economy (GDP per Capita),2016
Congo (Brazzaville),Sub-Saharan Africa,0.77109,Economy (GDP per Capita),2016
Senegal,Sub-Saharan Africa,0.44314,Economy (GDP per Capita),2016
Bulgaria,Central and Eastern Europe,1.11306,Economy (GDP per Capita),2016
Mauritania,Sub-Saharan Africa,0.61391,Economy (GDP per Capita),2016
Zimbabwe,Sub-Saharan Africa,0.35041,Economy (GDP per Capita),2016
Malawi,Sub-Saharan Africa,0.08709,Economy (GDP per Capita),2016
Sudan,Sub-Saharan Africa,0.63069,Economy (GDP per Capita),2016
Gabon,Sub-Saharan Africa,1.15851,Economy (GDP per Capita),2016
Mali,Sub-Saharan Africa,0.31292,Economy (GDP per Capita),2016
Haiti,Latin America and Caribbean,0.34097,Economy (GDP per Capita),2016
Botswana,Sub-Saharan Africa,1.09426,Economy (GDP per Capita),2016
Comoros,Sub-Saharan Africa,0.27509,Economy (GDP per Capita),2016
Ivory Coast,Sub-Saharan Africa,0.55507,Economy (GDP per Capita),2016
Cambodia,Southeastern Asia,0.55604,Economy (GDP per Capita),2016
Angola,Sub-Saharan Africa,0.84731,Economy (GDP per Capita),2016
Niger,Sub-Saharan Africa,0.1327,Economy (GDP per Capita),2016
South Sudan,Sub-Saharan Africa,0.39394,Economy (GDP per Capita),2016
Chad,Sub-Saharan Africa,0.42214,Economy (GDP per Capita),2016
Burkina Faso,Sub-Saharan Africa,0.31995,Economy (GDP per Capita),2016
Uganda,Sub-Saharan Africa,0.34719,Economy (GDP per Capita),2016
Yemen,Middle East and Northern Africa,0.57939,Economy (GDP per Capita),2016
Madagascar,Sub-Saharan Africa,0.27954,Economy (GDP per Capita),2016
Tanzania,Sub-Saharan Africa,0.47155,Economy (GDP per Capita),2016
Liberia,Sub-Saharan Africa,0.10706,Economy (GDP per Capita),2016
Guinea,Sub-Saharan Africa,0.22415,Economy (GDP per Capita),2016
Rwanda,Sub-Saharan Africa,0.32846,Economy (GDP per Capita),2016
Benin,Sub-Saharan Africa,0.39499,Economy (GDP per Capita),2016
Afghanistan,Southern Asia,0.38227,Economy (GDP per Capita),2016
Togo,Sub-Saharan Africa,0.28123,Economy (GDP per Capita),2016
Syria,Middle East and Northern Africa,0.74719,Economy (GDP per Capita),2016
Burundi,Sub-Saharan Africa,0.06831,Economy (GDP per Capita),2016
Switzerland,Western Europe,0.94143,Health (Life Expectancy),2015
Iceland,Western Europe,0.94784,Health (Life Expectancy),2015
Denmark,Western Europe,0.87464,Health (Life Expectancy),2015
Norway,Western Europe,0.88521,Health (Life Expectancy),2015
Canada,North America,0.90563,Health (Life Expectancy),2015
Finland,Western Europe,0.88911,Health (Life Expectancy),2015
Netherlands,Western Europe,0.89284,Health (Life Expectancy),2015
Sweden,Western Europe,0.91087,Health (Life Expectancy),2015
New Zealand,Australia and New Zealand,0.90837,Health (Life Expectancy),2015
Australia,Australia and New Zealand,0.93156,Health (Life Expectancy),2015
Israel,Middle East and Northern Africa,0.91387,Health (Life Expectancy),2015
Costa Rica,Latin America and Caribbean,0.86027,Health (Life Expectancy),2015
Austria,Western Europe,0.89042,Health (Life Expectancy),2015
Mexico,Latin America and Caribbean,0.81444,Health (Life Expectancy),2015
United States,North America,0.86179,Health (Life Expectancy),2015
Brazil,Latin America and Caribbean,0.69702,Health (Life Expectancy),2015
Luxembourg,Western Europe,0.91894,Health (Life Expectancy),2015
Ireland,Western Europe,0.89533,Health (Life Expectancy),2015
Belgium,Western Europe,0.89667,Health (Life Expectancy),2015
United Arab Emirates,Middle East and Northern Africa,0.80925,Health (Life Expectancy),2015
United Kingdom,Western Europe,0.90943,Health (Life Expectancy),2015
Oman,Middle East and Northern Africa,0.76276,Health (Life Expectancy),2015
Venezuela,Latin America and Caribbean,0.72052,Health (Life Expectancy),2015
Singapore,Southeastern Asia,1.02525,Health (Life Expectancy),2015
Panama,Latin America and Caribbean,0.79661,Health (Life Expectancy),2015
Germany,Western Europe,0.89186,Health (Life Expectancy),2015
Chile,Latin America and Caribbean,0.85857,Health (Life Expectancy),2015
Qatar,Middle East and Northern Africa,0.79733,Health (Life Expectancy),2015
France,Western Europe,0.94579,Health (Life Expectancy),2015
Argentina,Latin America and Caribbean,0.78723,Health (Life Expectancy),2015
Czech Republic,Central and Eastern Europe,0.84483,Health (Life Expectancy),2015
Uruguay,Latin America and Caribbean,0.8116,Health (Life Expectancy),2015
Colombia,Latin America and Caribbean,0.69077,Health (Life Expectancy),2015
Thailand,Southeastern Asia,0.7385,Health (Life Expectancy),2015
Saudi Arabia,Middle East and Northern Africa,0.72025,Health (Life Expectancy),2015
Spain,Western Europe,0.95562,Health (Life Expectancy),2015
Malta,Western Europe,0.88721,Health (Life Expectancy),2015
Taiwan,Eastern Asia,0.8753,Health (Life Expectancy),2015
Kuwait,Middle East and Northern Africa,0.72492,Health (Life Expectancy),2015
Suriname,Latin America and Caribbean,0.6082,Health (Life Expectancy),2015
Trinidad and Tobago,Latin America and Caribbean,0.61483,Health (Life Expectancy),2015
El Salvador,Latin America and Caribbean,0.67737,Health (Life Expectancy),2015
Guatemala,Latin America and Caribbean,0.64425,Health (Life Expectancy),2015
Uzbekistan,Central and Eastern Europe,0.59772,Health (Life Expectancy),2015
Slovakia,Central and Eastern Europe,0.78902,Health (Life Expectancy),2015
Japan,Eastern Asia,0.99111,Health (Life Expectancy),2015
South Korea,Eastern Asia,0.96538,Health (Life Expectancy),2015
Ecuador,Latin America and Caribbean,0.79075,Health (Life Expectancy),2015
Bahrain,Middle East and Northern Africa,0.74716,Health (Life Expectancy),2015
Italy,Western Europe,0.95446,Health (Life Expectancy),2015
Bolivia,Latin America and Caribbean,0.5392,Health (Life Expectancy),2015
Moldova,Central and Eastern Europe,0.61826,Health (Life Expectancy),2015
Paraguay,Latin America and Caribbean,0.66098,Health (Life Expectancy),2015
Kazakhstan,Central and Eastern Europe,0.64368,Health (Life Expectancy),2015
Slovenia,Central and Eastern Europe,0.87337,Health (Life Expectancy),2015
Lithuania,Central and Eastern Europe,0.73128,Health (Life Expectancy),2015
Nicaragua,Latin America and Caribbean,0.74314,Health (Life Expectancy),2015
Peru,Latin America and Caribbean,0.73017,Health (Life Expectancy),2015
Belarus,Central and Eastern Europe,0.73608,Health (Life Expectancy),2015
Poland,Central and Eastern Europe,0.77903,Health (Life Expectancy),2015
Malaysia,Southeastern Asia,0.72394,Health (Life Expectancy),2015
Croatia,Central and Eastern Europe,0.78805,Health (Life Expectancy),2015
Libya,Middle East and Northern Africa,0.7038,Health (Life Expectancy),2015
Russia,Central and Eastern Europe,0.66926,Health (Life Expectancy),2015
Jamaica,Latin America and Caribbean,0.68741,Health (Life Expectancy),2015
North Cyprus,Western Europe,0.92356,Health (Life Expectancy),2015
Cyprus,Western Europe,0.92356,Health (Life Expectancy),2015
Algeria,Middle East and Northern Africa,0.61766,Health (Life Expectancy),2015
Kosovo,Central and Eastern Europe,0.63132,Health (Life Expectancy),2015
Turkmenistan,Central and Eastern Europe,0.53886,Health (Life Expectancy),2015
Mauritius,Sub-Saharan Africa,0.7095,Health (Life Expectancy),2015
Hong Kong,Eastern Asia,1.01328,Health (Life Expectancy),2015
Estonia,Central and Eastern Europe,0.77361,Health (Life Expectancy),2015
Indonesia,Southeastern Asia,0.63793,Health (Life Expectancy),2015
Vietnam,Southeastern Asia,0.74676,Health (Life Expectancy),2015
Turkey,Middle East and Northern Africa,0.73172,Health (Life Expectancy),2015
Kyrgyzstan,Central and Eastern Europe,0.65088,Health (Life Expectancy),2015
Nigeria,Sub-Saharan Africa,0.16007,Health (Life Expectancy),2015
Bhutan,Southern Asia,0.57407,Health (Life Expectancy),2015
Azerbaijan,Central and Eastern Europe,0.64045,Health (Life Expectancy),2015
Pakistan,Southern Asia,0.51466,Health (Life Expectancy),2015
Jordan,Middle East and Northern Africa,0.69639,Health (Life Expectancy),2015
Montenegro,Central and Eastern Europe,0.72521,Health (Life Expectancy),2015
China,Eastern Asia,0.81658,Health (Life Expectancy),2015
Zambia,Sub-Saharan Africa,0.29924,Health (Life Expectancy),2015
Romania,Central and Eastern Europe,0.7689,Health (Life Expectancy),2015
Serbia,Central and Eastern Europe,0.74836,Health (Life Expectancy),2015
Portugal,Western Europe,0.87519,Health (Life Expectancy),2015
Latvia,Central and Eastern Europe,0.72437,Health (Life Expectancy),2015
Philippines,Southeastern Asia,0.58114,Health (Life Expectancy),2015
Somaliland region,Sub-Saharan Africa,0.43873,Health (Life Expectancy),2015
Morocco,Middle East and Northern Africa,0.60954,Health (Life Expectancy),2015
Macedonia,Central and Eastern Europe,0.73545,Health (Life Expectancy),2015
Mozambique,Sub-Saharan Africa,0.09131,Health (Life Expectancy),2015
Albania,Central and Eastern Europe,0.81325,Health (Life Expectancy),2015
Bosnia and Herzegovina,Central and Eastern Europe,0.79081,Health (Life Expectancy),2015
Lesotho,Sub-Saharan Africa,0.07612,Health (Life Expectancy),2015
Dominican Republic,Latin America and Caribbean,0.66825,Health (Life Expectancy),2015
Laos,Southeastern Asia,0.54909,Health (Life Expectancy),2015
Mongolia,Eastern Asia,0.60268,Health (Life Expectancy),2015
Swaziland,Sub-Saharan Africa,0.07566,Health (Life Expectancy),2015
Greece,Western Europe,0.88213,Health (Life Expectancy),2015
Lebanon,Middle East and Northern Africa,0.83947,Health (Life Expectancy),2015
Hungary,Central and Eastern Europe,0.75905,Health (Life Expectancy),2015
Honduras,Latin America and Caribbean,0.6951,Health (Life Expectancy),2015
Tajikistan,Central and Eastern Europe,0.57379,Health (Life Expectancy),2015
Tunisia,Middle East and Northern Africa,0.73793,Health (Life Expectancy),2015
Palestinian Territories,Middle East and Northern Africa,0.66015,Health (Life Expectancy),2015
Bangladesh,Southern Asia,0.60164,Health (Life Expectancy),2015
Iran,Middle East and Northern Africa,0.69805,Health (Life Expectancy),2015
Ukraine,Central and Eastern Europe,0.6739,Health (Life Expectancy),2015
Iraq,Middle East and Northern Africa,0.60237,Health (Life Expectancy),2015
South Africa,Sub-Saharan Africa,0.27688,Health (Life Expectancy),2015
Ghana,Sub-Saharan Africa,0.40132,Health (Life Expectancy),2015
Zimbabwe,Sub-Saharan Africa,0.33475,Health (Life Expectancy),2015
Liberia,Sub-Saharan Africa,0.34201,Health (Life Expectancy),2015
India,Southern Asia,0.51529,Health (Life Expectancy),2015
Sudan,Sub-Saharan Africa,0.36878,Health (Life Expectancy),2015
Haiti,Latin America and Caribbean,0.38847,Health (Life Expectancy),2015
Congo (Kinshasa),Sub-Saharan Africa,0.09806,Health (Life Expectancy),2015
Nepal,Southern Asia,0.56874,Health (Life Expectancy),2015
Ethiopia,Sub-Saharan Africa,0.44055,Health (Life Expectancy),2015
Sierra Leone,Sub-Saharan Africa,0,Health (Life Expectancy),2015
Mauritania,Sub-Saharan Africa,0.35874,Health (Life Expectancy),2015
Kenya,Sub-Saharan Africa,0.41435,Health (Life Expectancy),2015
Djibouti,Sub-Saharan Africa,0.36291,Health (Life Expectancy),2015
Armenia,Central and Eastern Europe,0.7299,Health (Life Expectancy),2015
Botswana,Sub-Saharan Africa,0.04776,Health (Life Expectancy),2015
Myanmar,Southeastern Asia,0.48246,Health (Life Expectancy),2015
Georgia,Central and Eastern Europe,0.72926,Health (Life Expectancy),2015
Malawi,Sub-Saharan Africa,0.22562,Health (Life Expectancy),2015
Sri Lanka,Southern Asia,0.70806,Health (Life Expectancy),2015
Cameroon,Sub-Saharan Africa,0.23402,Health (Life Expectancy),2015
Bulgaria,Central and Eastern Europe,0.76649,Health (Life Expectancy),2015
Egypt,Middle East and Northern Africa,0.61712,Health (Life Expectancy),2015
Yemen,Middle East and Northern Africa,0.40064,Health (Life Expectancy),2015
Angola,Sub-Saharan Africa,0.16683,Health (Life Expectancy),2015
Mali,Sub-Saharan Africa,0.20583,Health (Life Expectancy),2015
Congo (Brazzaville),Sub-Saharan Africa,0.31051,Health (Life Expectancy),2015
Comoros,Sub-Saharan Africa,0.36315,Health (Life Expectancy),2015
Uganda,Sub-Saharan Africa,0.33861,Health (Life Expectancy),2015
Senegal,Sub-Saharan Africa,0.4354,Health (Life Expectancy),2015
Gabon,Sub-Saharan Africa,0.43372,Health (Life Expectancy),2015
Niger,Sub-Saharan Africa,0.29707,Health (Life Expectancy),2015
Cambodia,Southeastern Asia,0.61114,Health (Life Expectancy),2015
Tanzania,Sub-Saharan Africa,0.38215,Health (Life Expectancy),2015
Madagascar,Sub-Saharan Africa,0.46721,Health (Life Expectancy),2015
Central African Republic,Sub-Saharan Africa,0.06699,Health (Life Expectancy),2015
Chad,Sub-Saharan Africa,0.1501,Health (Life Expectancy),2015
Guinea,Sub-Saharan Africa,0.24009,Health (Life Expectancy),2015
Ivory Coast,Sub-Saharan Africa,0.15185,Health (Life Expectancy),2015
Burkina Faso,Sub-Saharan Africa,0.27125,Health (Life Expectancy),2015
Afghanistan,Southern Asia,0.30335,Health (Life Expectancy),2015
Rwanda,Sub-Saharan Africa,0.42864,Health (Life Expectancy),2015
Benin,Sub-Saharan Africa,0.3191,Health (Life Expectancy),2015
Syria,Middle East and Northern Africa,0.72193,Health (Life Expectancy),2015
Burundi,Sub-Saharan Africa,0.22396,Health (Life Expectancy),2015
Togo,Sub-Saharan Africa,0.28443,Health (Life Expectancy),2015
Denmark,Western Europe,0.79504,Health (Life Expectancy),2016
Switzerland,Western Europe,0.86303,Health (Life Expectancy),2016
Iceland,Western Europe,0.86733,Health (Life Expectancy),2016
Norway,Western Europe,0.79579,Health (Life Expectancy),2016
Finland,Western Europe,0.81091,Health (Life Expectancy),2016
Canada,North America,0.8276,Health (Life Expectancy),2016
Netherlands,Western Europe,0.81231,Health (Life Expectancy),2016
New Zealand,Australia and New Zealand,0.83096,Health (Life Expectancy),2016
Australia,Australia and New Zealand,0.8512,Health (Life Expectancy),2016
Sweden,Western Europe,0.83121,Health (Life Expectancy),2016
Israel,Middle East and Northern Africa,0.84917,Health (Life Expectancy),2016
Austria,Western Europe,0.80565,Health (Life Expectancy),2016
United States,North America,0.779,Health (Life Expectancy),2016
Costa Rica,Latin America and Caribbean,0.76146,Health (Life Expectancy),2016
Puerto Rico,Latin America and Caribbean,0.77758,Health (Life Expectancy),2016
Germany,Western Europe,0.81487,Health (Life Expectancy),2016
Brazil,Latin America and Caribbean,0.61415,Health (Life Expectancy),2016
Belgium,Western Europe,0.81959,Health (Life Expectancy),2016
Ireland,Western Europe,0.81455,Health (Life Expectancy),2016
Luxembourg,Western Europe,0.84542,Health (Life Expectancy),2016
Mexico,Latin America and Caribbean,0.71143,Health (Life Expectancy),2016
Singapore,Southeastern Asia,0.94719,Health (Life Expectancy),2016
United Kingdom,Western Europe,0.80991,Health (Life Expectancy),2016
Chile,Latin America and Caribbean,0.81883,Health (Life Expectancy),2016
Panama,Latin America and Caribbean,0.70835,Health (Life Expectancy),2016
Argentina,Latin America and Caribbean,0.69711,Health (Life Expectancy),2016
Czech Republic,Central and Eastern Europe,0.76376,Health (Life Expectancy),2016
United Arab Emirates,Middle East and Northern Africa,0.72993,Health (Life Expectancy),2016
Uruguay,Latin America and Caribbean,0.72183,Health (Life Expectancy),2016
Malta,Western Europe,0.80315,Health (Life Expectancy),2016
Colombia,Latin America and Caribbean,0.59659,Health (Life Expectancy),2016
France,Western Europe,0.83795,Health (Life Expectancy),2016
Thailand,Southeastern Asia,0.64915,Health (Life Expectancy),2016
Saudi Arabia,Middle East and Northern Africa,0.59267,Health (Life Expectancy),2016
Taiwan,Eastern Asia,0.79565,Health (Life Expectancy),2016
Qatar,Middle East and Northern Africa,0.71723,Health (Life Expectancy),2016
Spain,Western Europe,0.87896,Health (Life Expectancy),2016
Algeria,Middle East and Northern Africa,0.61804,Health (Life Expectancy),2016
Guatemala,Latin America and Caribbean,0.54039,Health (Life Expectancy),2016
Suriname,Latin America and Caribbean,0.50933,Health (Life Expectancy),2016
Kuwait,Middle East and Northern Africa,0.63569,Health (Life Expectancy),2016
Bahrain,Middle East and Northern Africa,0.65696,Health (Life Expectancy),2016
Trinidad and Tobago,Latin America and Caribbean,0.52608,Health (Life Expectancy),2016
Venezuela,Latin America and Caribbean,0.61904,Health (Life Expectancy),2016
Slovakia,Central and Eastern Europe,0.70367,Health (Life Expectancy),2016
El Salvador,Latin America and Caribbean,0.596,Health (Life Expectancy),2016
Malaysia,Southeastern Asia,0.62366,Health (Life Expectancy),2016
Nicaragua,Latin America and Caribbean,0.65213,Health (Life Expectancy),2016
Uzbekistan,Central and Eastern Europe,0.50163,Health (Life Expectancy),2016
Italy,Western Europe,0.85102,Health (Life Expectancy),2016
Ecuador,Latin America and Caribbean,0.68613,Health (Life Expectancy),2016
Belize,Latin America and Caribbean,0.45569,Health (Life Expectancy),2016
Japan,Eastern Asia,0.91491,Health (Life Expectancy),2016
Kazakhstan,Central and Eastern Europe,0.57386,Health (Life Expectancy),2016
Moldova,Central and Eastern Europe,0.52309,Health (Life Expectancy),2016
Russia,Central and Eastern Europe,0.58991,Health (Life Expectancy),2016
Poland,Central and Eastern Europe,0.69058,Health (Life Expectancy),2016
South Korea,Eastern Asia,0.88645,Health (Life Expectancy),2016
Bolivia,Latin America and Caribbean,0.4697,Health (Life Expectancy),2016
Lithuania,Central and Eastern Europe,0.64674,Health (Life Expectancy),2016
Belarus,Central and Eastern Europe,0.63104,Health (Life Expectancy),2016
North Cyprus,Western Europe,0.84142,Health (Life Expectancy),2016
Slovenia,Central and Eastern Europe,0.79151,Health (Life Expectancy),2016
Peru,Latin America and Caribbean,0.62994,Health (Life Expectancy),2016
Turkmenistan,Central and Eastern Europe,0.44006,Health (Life Expectancy),2016
Mauritius,Sub-Saharan Africa,0.66189,Health (Life Expectancy),2016
Libya,Middle East and Northern Africa,0.52304,Health (Life Expectancy),2016
Latvia,Central and Eastern Europe,0.63952,Health (Life Expectancy),2016
Cyprus,Western Europe,0.8488,Health (Life Expectancy),2016
Paraguay,Latin America and Caribbean,0.58295,Health (Life Expectancy),2016
Romania,Central and Eastern Europe,0.67602,Health (Life Expectancy),2016
Estonia,Central and Eastern Europe,0.68098,Health (Life Expectancy),2016
Jamaica,Latin America and Caribbean,0.59469,Health (Life Expectancy),2016
Croatia,Central and Eastern Europe,0.70524,Health (Life Expectancy),2016
Hong Kong,Eastern Asia,0.95277,Health (Life Expectancy),2016
Somalia,Sub-Saharan Africa,0.11466,Health (Life Expectancy),2016
Kosovo,Central and Eastern Europe,0.54,Health (Life Expectancy),2016
Turkey,Middle East and Northern Africa,0.64718,Health (Life Expectancy),2016
Indonesia,Southeastern Asia,0.49374,Health (Life Expectancy),2016
Jordan,Middle East and Northern Africa,0.60712,Health (Life Expectancy),2016
Azerbaijan,Central and Eastern Europe,0.54504,Health (Life Expectancy),2016
Philippines,Southeastern Asia,0.47036,Health (Life Expectancy),2016
China,Eastern Asia,0.73561,Health (Life Expectancy),2016
Bhutan,Southern Asia,0.49759,Health (Life Expectancy),2016
Kyrgyzstan,Central and Eastern Europe,0.55449,Health (Life Expectancy),2016
Serbia,Central and Eastern Europe,0.6458,Health (Life Expectancy),2016
Bosnia and Herzegovina,Central and Eastern Europe,0.70766,Health (Life Expectancy),2016
Montenegro,Central and Eastern Europe,0.63533,Health (Life Expectancy),2016
Dominican Republic,Latin America and Caribbean,0.57669,Health (Life Expectancy),2016
Morocco,Middle East and Northern Africa,0.59471,Health (Life Expectancy),2016
Hungary,Central and Eastern Europe,0.67608,Health (Life Expectancy),2016
Pakistan,Southern Asia,0.40306,Health (Life Expectancy),2016
Lebanon,Middle East and Northern Africa,0.76171,Health (Life Expectancy),2016
Portugal,Western Europe,0.79363,Health (Life Expectancy),2016
Macedonia,Central and Eastern Europe,0.64738,Health (Life Expectancy),2016
Vietnam,Southeastern Asia,0.66157,Health (Life Expectancy),2016
Somaliland Region,Sub-Saharan Africa,0.33108,Health (Life Expectancy),2016
Tunisia,Middle East and Northern Africa,0.59577,Health (Life Expectancy),2016
Greece,Western Europe,0.80029,Health (Life Expectancy),2016
Tajikistan,Central and Eastern Europe,0.53119,Health (Life Expectancy),2016
Mongolia,Eastern Asia,0.55469,Health (Life Expectancy),2016
Laos,Southeastern Asia,0.38291,Health (Life Expectancy),2016
Nigeria,Sub-Saharan Africa,0.05108,Health (Life Expectancy),2016
Honduras,Latin America and Caribbean,0.58383,Health (Life Expectancy),2016
Iran,Middle East and Northern Africa,0.64232,Health (Life Expectancy),2016
Zambia,Sub-Saharan Africa,0.23573,Health (Life Expectancy),2016
Nepal,Southern Asia,0.50073,Health (Life Expectancy),2016
Palestinian Territories,Middle East and Northern Africa,0.56844,Health (Life Expectancy),2016
Albania,Central and Eastern Europe,0.73007,Health (Life Expectancy),2016
Bangladesh,Southern Asia,0.52989,Health (Life Expectancy),2016
Sierra Leone,Sub-Saharan Africa,0,Health (Life Expectancy),2016
Iraq,Middle East and Northern Africa,0.51076,Health (Life Expectancy),2016
Namibia,Sub-Saharan Africa,0.34745,Health (Life Expectancy),2016
Cameroon,Sub-Saharan Africa,0.12698,Health (Life Expectancy),2016
Ethiopia,Sub-Saharan Africa,0.34578,Health (Life Expectancy),2016
South Africa,Sub-Saharan Africa,0.18611,Health (Life Expectancy),2016
Sri Lanka,Southern Asia,0.62007,Health (Life Expectancy),2016
India,Southern Asia,0.45091,Health (Life Expectancy),2016
Myanmar,Southeastern Asia,0.3988,Health (Life Expectancy),2016
Egypt,Middle East and Northern Africa,0.52116,Health (Life Expectancy),2016
Armenia,Central and Eastern Europe,0.64083,Health (Life Expectancy),2016
Kenya,Sub-Saharan Africa,0.30147,Health (Life Expectancy),2016
Ukraine,Central and Eastern Europe,0.58628,Health (Life Expectancy),2016
Ghana,Sub-Saharan Africa,0.29681,Health (Life Expectancy),2016
Congo (Kinshasa),Sub-Saharan Africa,0.188,Health (Life Expectancy),2016
Georgia,Central and Eastern Europe,0.64035,Health (Life Expectancy),2016
Congo (Brazzaville),Sub-Saharan Africa,0.28212,Health (Life Expectancy),2016
Senegal,Sub-Saharan Africa,0.40457,Health (Life Expectancy),2016
Bulgaria,Central and Eastern Europe,0.67806,Health (Life Expectancy),2016
Mauritania,Sub-Saharan Africa,0.28639,Health (Life Expectancy),2016
Zimbabwe,Sub-Saharan Africa,0.1595,Health (Life Expectancy),2016
Malawi,Sub-Saharan Africa,0.29364,Health (Life Expectancy),2016
Sudan,Sub-Saharan Africa,0.29759,Health (Life Expectancy),2016
Gabon,Sub-Saharan Africa,0.3494,Health (Life Expectancy),2016
Mali,Sub-Saharan Africa,0.16347,Health (Life Expectancy),2016
Haiti,Latin America and Caribbean,0.27494,Health (Life Expectancy),2016
Botswana,Sub-Saharan Africa,0.34752,Health (Life Expectancy),2016
Comoros,Sub-Saharan Africa,0.29981,Health (Life Expectancy),2016
Ivory Coast,Sub-Saharan Africa,0.04476,Health (Life Expectancy),2016
Cambodia,Southeastern Asia,0.42494,Health (Life Expectancy),2016
Angola,Sub-Saharan Africa,0.04991,Health (Life Expectancy),2016
Niger,Sub-Saharan Africa,0.26162,Health (Life Expectancy),2016
South Sudan,Sub-Saharan Africa,0.15781,Health (Life Expectancy),2016
Chad,Sub-Saharan Africa,0.03824,Health (Life Expectancy),2016
Burkina Faso,Sub-Saharan Africa,0.21297,Health (Life Expectancy),2016
Uganda,Sub-Saharan Africa,0.19625,Health (Life Expectancy),2016
Yemen,Middle East and Northern Africa,0.31048,Health (Life Expectancy),2016
Madagascar,Sub-Saharan Africa,0.37109,Health (Life Expectancy),2016
Tanzania,Sub-Saharan Africa,0.357,Health (Life Expectancy),2016
Liberia,Sub-Saharan Africa,0.23165,Health (Life Expectancy),2016
Guinea,Sub-Saharan Africa,0.18829,Health (Life Expectancy),2016
Rwanda,Sub-Saharan Africa,0.31865,Health (Life Expectancy),2016
Benin,Sub-Saharan Africa,0.21028,Health (Life Expectancy),2016
Afghanistan,Southern Asia,0.17344,Health (Life Expectancy),2016
Togo,Sub-Saharan Africa,0.24811,Health (Life Expectancy),2016
Syria,Middle East and Northern Africa,0.62994,Health (Life Expectancy),2016
Burundi,Sub-Saharan Africa,0.15747,Health (Life Expectancy),2016
Switzerland,Western Europe,0.66557,Freedom,2015
Iceland,Western Europe,0.62877,Freedom,2015
Denmark,Western Europe,0.64938,Freedom,2015
Norway,Western Europe,0.66973,Freedom,2015
Canada,North America,0.63297,Freedom,2015
Finland,Western Europe,0.64169,Freedom,2015
Netherlands,Western Europe,0.61576,Freedom,2015
Sweden,Western Europe,0.6598,Freedom,2015
New Zealand,Australia and New Zealand,0.63938,Freedom,2015
Australia,Australia and New Zealand,0.65124,Freedom,2015
Israel,Middle East and Northern Africa,0.41319,Freedom,2015
Costa Rica,Latin America and Caribbean,0.63376,Freedom,2015
Austria,Western Europe,0.62433,Freedom,2015
Mexico,Latin America and Caribbean,0.48181,Freedom,2015
United States,North America,0.54604,Freedom,2015
Brazil,Latin America and Caribbean,0.49049,Freedom,2015
Luxembourg,Western Europe,0.61583,Freedom,2015
Ireland,Western Europe,0.61777,Freedom,2015
Belgium,Western Europe,0.5845,Freedom,2015
United Arab Emirates,Middle East and Northern Africa,0.64157,Freedom,2015
United Kingdom,Western Europe,0.59625,Freedom,2015
Oman,Middle East and Northern Africa,0.63274,Freedom,2015
Venezuela,Latin America and Caribbean,0.42908,Freedom,2015
Singapore,Southeastern Asia,0.54252,Freedom,2015
Panama,Latin America and Caribbean,0.5421,Freedom,2015
Germany,Western Europe,0.61477,Freedom,2015
Chile,Latin America and Caribbean,0.44132,Freedom,2015
Qatar,Middle East and Northern Africa,0.6404,Freedom,2015
France,Western Europe,0.55011,Freedom,2015
Argentina,Latin America and Caribbean,0.44974,Freedom,2015
Czech Republic,Central and Eastern Europe,0.46364,Freedom,2015
Uruguay,Latin America and Caribbean,0.60362,Freedom,2015
Colombia,Latin America and Caribbean,0.53466,Freedom,2015
Thailand,Southeastern Asia,0.55664,Freedom,2015
Saudi Arabia,Middle East and Northern Africa,0.31048,Freedom,2015
Spain,Western Europe,0.45951,Freedom,2015
Malta,Western Europe,0.60365,Freedom,2015
Taiwan,Eastern Asia,0.3974,Freedom,2015
Kuwait,Middle East and Northern Africa,0.55499,Freedom,2015
Suriname,Latin America and Caribbean,0.59657,Freedom,2015
Trinidad and Tobago,Latin America and Caribbean,0.55884,Freedom,2015
El Salvador,Latin America and Caribbean,0.4035,Freedom,2015
Guatemala,Latin America and Caribbean,0.57733,Freedom,2015
Uzbekistan,Central and Eastern Europe,0.65821,Freedom,2015
Slovakia,Central and Eastern Europe,0.31751,Freedom,2015
Japan,Eastern Asia,0.49615,Freedom,2015
South Korea,Eastern Asia,0.33208,Freedom,2015
